country_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
mv,mv.svg,0.297,SVG,"(512, 512)",1.0,,8,,"#007e3a,#d21034,#fff"
mw,mw.svg,3.678,SVG,"(512, 512)",1.0,,14,,"#000001,#21873b,#f31509,#f41408"
mx,mx.svg,78.327,SVG,"(512, 512)",1.0,,100,,"#006847,#016848,#04534e,#0c8489,#171717,#1c242f,#1e2121,#202020,#202220,#231f20,#30c2dc,#312317,#404118,#45392d,#4b4139,#4d2a15,#513625,#5c3818,#5c3a1d,#6c3f18,#6c4119,#6f5b24,#717732,#78732e,#803f1d,#816c2a,#874f20,#8b441f,#8b5122,#8cbebf,#8f4620,#904720,#953220,#977c2e,#9ca168,#a8ac71,#aa8c30,#ab6d29,#af7029,#b07229,#b27129,#bf802d,#c6c7a6,#cd202a,#ce1126,#d2a567,#d5d3ca,#dbad6c,#e92736,#f16e16,#f1a720,#f7e204,#f8c83c,#f9aa51,#f9c83a,#fcca3d,#fcca3e,#fcf3d8,#fdeaaf,#fff"
my,my.svg,1.134,SVG,"(512, 512)",1.0,,32,,"#006,#c00,#fc0,#fff"
mz,mz.svg,2.484,SVG,"(512, 512)",1.0,,26,,"#000001,#009a00,#ffca00,#fff"
na,na.svg,0.927,SVG,"(512, 512)",1.0,,16,,"#3662a2,#38a100,#c70000,#ffe700,#fff"
nc,nc.svg,1.287,SVG,"(512, 512)",1.0,,20,,"#000001,#0035ad,#009543,#ed4135,#fae600"
ne,ne.svg,0.272,SVG,"(512, 512)",1.0,,8,,"#0db02b,#e05206,#fff"
nf,nf.svg,5.248,SVG,"(512, 512)",1.0,,10,,"#198200,#fff"
ng,ng.svg,0.251,SVG,"(512, 512)",1.0,,4,,"#008753,#fff"
ni,ni.svg,16.888,SVG,"(512, 512)",1.0,,98,,"#0067c6,#00f,#0cf,#0f0,#17c0eb,#510000,#910000,#93bc30,#97c924,#9ecb34,#c6cb24,#c8a400,#ccd11e,#ede71f,#f60,#ff0,#ff2a2a,#ff3a3a,#fff"
nl,nl.svg,0.228,SVG,"(512, 512)",1.0,,6,,"#21468b,#ae1c28,#fff"
no,no.svg,0.311,SVG,"(512, 512)",1.0,,10,,"#002664,#ed2939,#fff"
np,np.svg,1.105,SVG,"(512, 512)",1.0,,8,,"#ce0000,#fff"
nr,nr.svg,0.653,SVG,"(512, 512)",1.0,,8,,"#002170,#ffb20d,#fff"
nu,nu.svg,0.82,SVG,"(512, 512)",1.0,,16,,"#012169,#c8102e,#fedd00,#fff"
nz,nz.svg,2.103,SVG,"(512, 512)",1.0,,16,,"#00247d,#012169,#c8102e,#cc142b,#fff"
om,om.svg,21.687,SVG,"(512, 512)",1.0,,100,,"#009025,#ef0000,#ef2d29,#fff"
pa,pa.svg,0.626,SVG,"(512, 512)",1.0,,10,,"#0000ab,#d80000,#db0000,#fff"
pe,pe.svg,0.182,SVG,"(512, 512)",1.0,,4,,"#d91023,#fff"
pf,pf.svg,3.901,SVG,"(512, 512)",1.0,,20,,"#083d9c,#de2010,#ef7d08,#fff"
pg,pg.svg,2.034,SVG,"(512, 512)",1.0,,12,,"#000001,#fc0,#fff"
ph,ph.svg,1.393,SVG,"(512, 512)",1.0,,8,,"#0038a8,#ce1126,#fcd116,#fff"
pk,pk.svg,0.661,SVG,"(512, 512)",1.0,,10,,"#0c590b,#fff"
pl,pl.svg,0.214,SVG,"(512, 512)",1.0,,4,,"#dc143c,#fff"
pm,pm.svg,0.226,SVG,"(512, 512)",1.0,,6,,"#000091,#e1000f,#fff"
pn,pn.svg,13.126,SVG,"(512, 512)",1.0,,100,,"#00247d,#006ec7,#012169,#316d3a,#337321,#96877d,#c8102e,#e5e5e5,#f7e017,#fff"
pr,pr.svg,0.594,SVG,"(512, 512)",1.0,,10,,"#0050f0,#ed0000,#fff"
ps,ps.svg,0.275,SVG,"(512, 512)",1.0,,8,,"#009639,#ed2e38,#fff"
pt,pt.svg,8.173,SVG,"(512, 512)",1.0,,68,,"#000001,#039,#060,#ff0,#fff"
pw,pw.svg,0.499,SVG,"(512, 512)",1.0,,6,,"#4aadd6,#ffde00"
py,py.svg,15.978,SVG,"(512, 512)",1.0,,100,,"#0038a8,#009b3a,#d52b1e,#fedf00,#fff"
qa,qa.svg,0.343,SVG,"(512, 512)",1.0,,4,,"#8d1b3d,#fff"
re,re.svg,0.282,SVG,"(512, 512)",1.0,,6,,"#00267f,#f31830,#fff"
ro,ro.svg,0.295,SVG,"(512, 512)",1.0,,6,,"#00319c,#de2110,#ffde00"
rs,rs.svg,177.224,SVG,"(512, 512)",1.0,,100,,"#0c4076,#21231e,#c6363c,#edb92e,#fff"
ru,ru.svg,0.228,SVG,"(512, 512)",1.0,,6,,"#0039a6,#d52b1e,#fff"
rw,rw.svg,0.738,SVG,"(512, 512)",1.0,,10,,"#00a1de,#20603d,#e5be01,#fad201"
sa,sa.svg,9.622,SVG,"(512, 512)",1.0,,34,,"#165d31,#fff"
sb,sb.svg,0.925,SVG,"(512, 512)",1.0,,10,,"#0000d6,#006000,#fc0,#fff"
sc,sc.svg,0.313,SVG,"(512, 512)",1.0,,10,,"#003d88,#007a39,#d92223,#fcd955,#fff"
sd,sd.svg,0.495,SVG,"(512, 512)",1.0,,10,,"#000001,#009a00,#fff"
se,se.svg,0.218,SVG,"(512, 512)",1.0,,4,,"#005293,#fecb00"
sg,sg.svg,0.926,SVG,"(512, 512)",1.0,,10,,"#df0000,#fff"
sh,sh.svg,0.493,SVG,"(512, 512)",1.0,,10,,"#012169,#c8102e,#fff"
si,si.svg,1.966,SVG,"(512, 512)",1.0,,20,,"#0000bf,#d50000,#ffdf00,#fff"
sj,sj.svg,0.311,SVG,"(512, 512)",1.0,,10,,"#002868,#ef2b2d,#fff"
sk,sk.svg,1.134,SVG,"(512, 512)",1.0,,14,,"#0b4ea2,#ee1c25,#fff"
sl,sl.svg,0.431,SVG,"(512, 512)",1.0,,8,,"#0000cd,#00cd00,#fff"
sm,sm.svg,15.18,SVG,"(512, 512)",1.0,,100,,"#006800,#19b6ef,#4fd46b,#65c7ff,#8fc753,#9d4916,#b97700,#c76e2e,#e40000,#fd0,#ffe100,#fff"
sn,sn.svg,0.401,SVG,"(512, 512)",1.0,,8,,"#0b7226,#bc0000,#ff0"
so,so.svg,0.478,SVG,"(512, 512)",1.0,,6,,"#40a6ff,#fff"
sr,sr.svg,0.31,SVG,"(512, 512)",1.0,,8,,"#377e3f,#b40a2d,#ecc81d,#fff"
ss,ss.svg,0.399,SVG,"(512, 512)",1.0,,12,,"#000001,#078930,#0f47af,#da121a,#fcdd09,#fff"
st,st.svg,0.936,SVG,"(512, 512)",1.0,,8,,"#000001,#12ad2b,#d21034,#ffce00"
sv,sv.svg,75.895,SVG,"(512, 512)",1.0,,100,,"#00209f,#007e93,#011322,#011d33,#0f47af,#1f601a,#e60000,#fc0,#fff"
sx,sx.svg,11.87,SVG,"(512, 512)",1.0,,96,,"#002395,#008737,#009fc5,#7e7e7e,#80cfe1,#bc715f,#ed2939,#ff0,#fff"
sy,sy.svg,0.383,SVG,"(512, 512)",1.0,,8,,"#007a3d,#ce1126,#fff"
sz,sz.svg,4.524,SVG,"(512, 512)",1.0,,32,,"#333,#3e5eb9,#a70000,#b10c0c,#b3b3b3,#ffd900,#fff"
tc,tc.svg,6.927,SVG,"(512, 512)",1.0,,56,,"#000001,#002868,#009e49,#012169,#9e540a,#c8102e,#ce1126,#f1b2dc,#fcad56,#fcd116,#ffa1a1,#fff"
td,td.svg,0.276,SVG,"(512, 512)",1.0,,6,,"#002664,#c60c30,#fecb00"
tf,tf.svg,1.172,SVG,"(512, 512)",1.0,,12,,"#002395,#ed2939,#fff"
tg,tg.svg,0.701,SVG,"(512, 512)",1.0,,12,,"#118600,#d80000,#ffe300,#fff"
th,th.svg,0.278,SVG,"(512, 512)",1.0,,6,,"#2d2a4a,#a51931,#f4f5f8"
tj,tj.svg,1.77,SVG,"(512, 512)",1.0,,18,,"#060,#c00,#f8c300,#fff"
tk,tk.svg,0.733,SVG,"(512, 512)",1.0,,6,,"#00247d,#fed100,#fff"
tl,tl.svg,0.576,SVG,"(512, 512)",1.0,,10,,"#000001,#cb000f,#f8c00c,#fff"
tm,tm.svg,37.324,SVG,"(512, 512)",1.0,,100,,"#00843d,#383739,#d22630,#ffc72c,#fff"
tn,tn.svg,0.331,SVG,"(512, 512)",1.0,,4,,"#e70013,#fff"
to,to.svg,0.35,SVG,"(512, 512)",1.0,,8,,"#c10000,#fff"
tr,tr.svg,0.548,SVG,"(512, 512)",1.0,,8,,"#e30a17,#fff"
tt,tt.svg,0.305,SVG,"(512, 512)",1.0,,6,,"#000001,#e00000,#fff"
tv,tv.svg,1.311,SVG,"(512, 512)",1.0,,14,,"#009fca,#012169,#c8102e,#fff,#fff40d"
tw,tw.svg,2.447,SVG,"(512, 512)",1.0,,48,,"#000095,#fff"
tz,tz.svg,0.597,SVG,"(512, 512)",1.0,,10,,"#000001,#090,#09f,#ff0"
ua,ua.svg,0.227,SVG,"(512, 512)",1.0,,4,,#0057b8
ug,ug.svg,3.898,SVG,"(512, 512)",1.0,,44,,"#000001,#9ca69c,#de3108,#de3908,#ffe700,#fff,#fffdff"
um,um.svg,0.635,SVG,"(512, 512)",1.0,,10,,"#192f5d,#bd3d44,#fff"
us,us.svg,0.635,SVG,"(512, 512)",1.0,,10,,"#192f5d,#bd3d44,#fff"
