subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
CH-TG,CH-TG.svg,35.247,SVG,"(470, 470)",1.0,,72,,"#010202,#16a74e,#e8423f,#ffd730,#ffffff"
CH-TI,CH-TI.svg,0.19,SVG,"(470, 470)",1.0,,4,,"#268bcc,#e8423f"
CH-UR,CH-UR.svg,13.04,SVG,"(471, 470)",1.0,,52,,"#010202,#e8423f,#ffd730,#ffffff"
CH-VD,CH-VD.svg,19.814,SVG,"(472, 470)",1.0,,64,,"#010202,#16a74e,#ffd730,#fff"
CH-VS,CH-VS.svg,6.473,SVG,"(472, 471)",1.0,,68,,"#e8423f,#fff"
CH-ZG,CH-ZG.svg,0.195,SVG,"(600, 600)",1.0,,4,,"#006fb5,#fff"
CH-ZH,CH-ZH.svg,0.167,SVG,"(474, 474)",1.0,,4,,"#268bcc,#fff"
CI-AB,CI-AB.png,198.416,PNG,"(853, 1280)",1.5,,8.6,,
CL-AI,CL-AI.svg,34.922,SVG,"(400, 600)",1.5,,100,,"#000000,#0062ad,#008400,#00aad4,#050,#214478,#80e5ff,#a40,#d7eef4,#fc0,#fff"
CL-AN,CL-AN.svg,98.609,SVG,"(600, 900)",1.5,,100,,"#0039a6,#03a,#1a1a1a,#2b1100,#502d16,#69521b,#6c5d53,#918a6f,#9d93ac,#b08429,#b3b3b3,#caa1e6,#cca066,#cf9562,#cf9662,#d42b1e,#d52b1e,#e2c888,#e6e6e6,#e8c2d7,#ececec,#f4d7d7,#ffc707,#ffd5d5,#fff"
CL-AP,CL-AP.svg,32.818,SVG,"(600, 900)",1.5,,30,,"#000000,#0071bc,#4093f5,#a5ff42,#e3e4e5,#fede3c,#ff6600,#ffffff"
CL-AR,CL-AR.svg,391.244,SVG,"(756, 1136)",1.5,,100,,"#008000,#008f4c,#00b052,#0b52b6,#117226,#250,#803300,#a05a2c,#b03528,#b7565a,#d03c28,#d35f5f,#e7ce5a,#ececec,#f1d65d,#f2f2f2,#f8eca8,#fd5,#ffe56d,#fff"
CL-AT,CL-AT.svg,1.321,SVG,"(496, 744)",1.5,,8,,"#0035ad,#ffd700"
CL-BI,CL-BI.svg,161.204,SVG,"(400, 600)",1.5,,100,,"#0071bc,#008f4c,#e3e4e5,#eac102,#ed1c24,#fff"
CL-CO,CL-CO.svg,20.572,SVG,"(600, 900)",1.5,,80,,"#59a8db,#ffffff"
CL-LI,CL-LI.svg,49.381,SVG,"(400, 600)",1.5,,46,,"#078930,#da121a,#faa,#fcdd09,#fff"
CL-LL,CL-LL.svg,0.522,SVG,"(600, 900)",1.5,,6,,"#0070c0,#00b050,#fff"
CL-LR,CL-LR.svg,31.229,SVG,"(600, 900)",1.5,,12,,"#0071bc,#008f4c,#ffcc00,#ffffff"
CL-MA,CL-MA.svg,1.607,SVG,"(600, 900)",1.5,,8,,"#0000cc,#fdcb00"
CL-ML,CL-ML.svg,25.555,SVG,"(600, 900)",1.5,,92,,"#000000,#00007d,#0071bc,#008f4c,#009036,#742e00,#e3e4e5,#e9ddaf,#eac102,#ed1c24,#fff"
CL-NB,CL-NB.svg,59.408,SVG,"(400, 600)",1.5,,100,,"#0071bc,#008f4c,#e3e4e5,#ea1c24,#eac102,#ed1c24,#fff"
CL-RM,CL-RM.svg,39.691,SVG,"(600, 900)",1.5,,74,,"#000,#0035ad,#585867,#dc241f,#fc0,#fff"
CL-TA,CL-TA.svg,114.734,SVG,"(400, 600)",1.5,,100,,"#000080,#0000ad,#008000,#008f4c,#20acf7,#630,#784421,#797176,#7bd6ff,#848484,#850404,#8a0,#9e5205,#b36633,#be6b46,#c63,#ce1029,#cecece,#d40000,#de7300,#dedede,#ed1c24,#ffa521,#fff"
CL-VS,CL-VS.svg,91.302,SVG,"(600, 900)",1.5,,100,,"#0035ad,#0071bc,#008f4c,#4d4d4d,#666,#806600,#999,#b3b3b3,#c83737,#c8c4b7,#e3e4e5,#eac102"
CN-HK,CN-HK.svg,0.825,SVG,"(600, 900)",1.5,,6,,"#ee1c25,#fff"
CN-MO,CN-MO.svg,2.31,SVG,"(600, 900)",1.5,,48,,"#0f7562,#ffde23,#fff"
CO-AMA,CO-AMA.svg,5.711,SVG,"(500, 808)",1.62,,24,,"#000,#078930,#fbbb00,#fff"
CO-ANT,CO-ANT.svg,0.79,SVG,"(600, 900)",1.5,,4,,"#009645,#fff"
CO-ARA,CO-ARA.svg,0.214,SVG,"(600, 800)",1.33,,4,,"#078930,#da121a"
CO-ATL,CO-ATL.svg,0.211,SVG,"(300, 500)",1.67,,4,,"#da121a,#fff"
CO-BOL,CO-BOL.svg,0.273,SVG,"(480, 720)",1.5,,6,,"#078930,#da121a,#fcdd09"
CO-BOY,CO-BOY.svg,18.093,SVG,"(500, 750)",1.5,,36,,"#078930,#da121a,#fcef3c,#fff"
CO-CAL,CO-CAL.svg,0.216,SVG,"(700, 1000)",1.43,,4,,"#078930,#fcdd09"
CO-CAQ,CO-CAQ.svg,1.131,SVG,"(504, 756)",1.5,,12,,"#078930,#fcdd09,#fff"
CO-CAS,CO-CAS.svg,0.611,SVG,"(480, 720)",1.5,,6,,"#078930,#da121a,#fcdd09"
CO-CAU,CO-CAU.svg,0.224,SVG,"(480, 720)",1.5,,4,,"#078930,#e4c90e"
CO-CES,CO-CES.svg,0.221,SVG,"(480, 720)",1.5,,4,,"#078930,#fff"
CO-CHO,CO-CHO.svg,0.273,SVG,"(480, 720)",1.5,,6,,"#078930,#0f47af,#fcdd09"
CO-COR,CO-COR.svg,0.271,SVG,"(480, 720)",1.5,,6,,"#078930,#0f47af,#fff"
CO-CUN,CO-CUN.svg,93.742,SVG,"(500, 750)",1.5,,100,,"#008f4c,#87c8e1,#890000,#969696,#dc1419,#e3e4e5,#e6e6e6,#ea1c24,#eac102,#ed1c24,#fadc0a"
CO-DC,CO-DC.svg,4.68,SVG,"(500, 750)",1.5,,14,,"#0f47af,#da121a,#fcdd09"
CO-GUA,CO-GUA.svg,0.256,SVG,"(480, 720)",1.5,,6,,"#078930,#0f47af,#fcdd09"
CO-GUV,CO-GUV.svg,183.478,SVG,"(500, 750)",1.5,,100,,"#00639c,#0071bc,#008f4c,#078930,#0f47af,#87ceff,#963,#bababa,#e6e6e6,#ea1c24,#eac102,#ed1c24,#fff"
CO-HUI,CO-HUI.svg,0.721,SVG,"(480, 720)",1.5,,6,,"#008c15,#fdda25,#ffffff"
CO-LAG,CO-LAG.svg,0.221,SVG,"(480, 720)",1.5,,4,,"#078930,#fff"
CO-MAG,CO-MAG.svg,1.081,SVG,"(216, 324)",1.5,,10,,"#14a,#d12"
CO-MET,CO-MET.svg,0.484,SVG,"(1700, 2550)",1.5,,4,,"#00873a,#078930,#f1f4ff"
CO-NAR,CO-NAR.svg,0.202,SVG,"(500, 750)",1.5,,4,,"#078930,#fcdd09"
CO-NSA,CO-NSA.svg,0.868,SVG,"(480, 720)",1.5,,6,,"#000,#da121a,#fcdd09"
CO-PUT,CO-PUT.svg,0.256,SVG,"(480, 720)",1.5,,6,,"#078930,#fff"
CO-QUI,CO-QUI.svg,0.271,SVG,"(480, 720)",1.5,,6,,"#078930,#742c64,#fcdd09"
CO-RIS,CO-RIS.svg,2.272,SVG,"(500, 750)",1.5,,4,,"#078930,#fff"
CO-SAN,CO-SAN.svg,3.4,SVG,"(1800, 2700)",1.5,,22,,"#00873a,#078930,#252629,#cd2428,#dc121a,#f1f4ff,#fcdd09,#ffd113,#fff"
CO-SAP,CO-SAP.svg,0.229,SVG,"(500, 750)",1.5,,4,,#89c5e3
CO-SUC,CO-SUC.svg,151.33,SVG,"(500, 750)",1.5,,100,,"#0071bc,#008f4c,#078930,#3ba502,#3dae49,#44af4f,#49b054,#4fb259,#53b45d,#5ab532,#87ceff,#b7712c,#ba712c,#da251d,#e3e4e5,#e6a57e,#e6e6e6,#eac102,#ed1c24,#ee9822,#ee992b,#ef9e37,#fcef3c,#ff8900,#fff,#fff500,#fff600,#fffcf8"
CO-TOL,CO-TOL.svg,0.222,SVG,"(480, 720)",1.5,,4,,"#6d090d,#fcdd09"
CO-VAC,CO-VAC.svg,0.282,SVG,"(480, 720)",1.5,,6,,"#89c5e3,#e7e7e7,#ffffff"
CO-VAU,CO-VAU.svg,0.661,SVG,"(500, 750)",1.5,,6,,"#034418,#078930,#fff"
CO-VID,CO-VID.svg,0.222,SVG,"(480, 720)",1.5,,4,,"#078930,#fcdd09"
CR-A,CR-A.svg,103.819,SVG,"(500, 750)",1.5,,100,,"#000000,#0071bc,#008f4c,#803300,#87cdff,#999,#ce1126,#e20909,#e7e7e7,#eac102,#ed1c24,#f00,#ffc0a3,#fff"
CR-C,CR-C.svg,0.216,SVG,"(500, 750)",1.5,,4,,"#0f47af,#da121a"
CR-G,CR-G.svg,0.296,SVG,"(500, 750)",1.5,,8,,"#078930,#0f47af,#da121a,#fff"
CR-H,CR-H.svg,941.265,SVG,"(250, 450)",1.8,,100,,"#00923f,#0094bd,#1f1a17,#231f20,#3b8536,#3c4919,#426e30,#630000,#ce1126,#d60000,#da251d,#ddd0cb,#e3e4e5,#eac102,#f5b508,#f9f9f9,#ffe700,#fff"
CR-L,CR-L.svg,0.271,SVG,"(288, 432)",1.5,,6,,"#009400,#009ce7,#fff"
CR-P,CR-P.svg,0.547,SVG,"(603, 959)",1.59,,10,,"#009c31,#01319d,#fe0000,#ff9b31,#fff"
CR-SJ,CR-SJ.svg,4.138,SVG,"(500, 750)",1.5,,8,,"#0f47af,#1120c5,#da121a,#ffffff"
CU-06,CU-06.svg,236.507,SVG,"(232, 465)",2.0,,100,,"#000,#002a8f,#008000,#008f4c,#00b052,#1353b4,#250,#540,#6e4b24,#80b3ff,#bc6a34,#cf142b,#cf7539,#dab300,#e9cb53,#ed1c24,#f6e078,#f8ec94,#fd5,#fee46e,#ffd42a,#fff"
CU-11,CU-11.svg,28.832,SVG,"(900, 1500)",1.67,,50,,
CU-14,CU-14.svg,135.462,SVG,"(629, 1053)",1.67,,100,,"#002f9a,#2ec25f,#60ade9,#993000,#efebeb,#ffff31"
CV-BR,CV-BR.png,12.956,PNG,"(216, 324)",1.5,,16.65,,
CV-BV,CV-BV.jpg,27.968,JPG,"(216, 362)",1.68,,9.78,,
CV-CA,CV-CA.png,5.06,PNG,"(216, 324)",1.5,,32.38,,
CV-CF,CV-CF.jpg,23.902,JPG,"(216, 337)",1.56,,14.37,,
CV-CR,CV-CR.png,13.049,PNG,"(216, 360)",1.67,,23.57,,
CV-MA,CV-MA.png,20.921,PNG,"(216, 329)",1.52,,40.18,,
CV-MO,CV-MO.svg,21.957,SVG,"(1058, 1587)",1.5,,100,,
CV-PA,CV-PA.png,7.329,PNG,"(216, 324)",1.5,,8.34,,
CV-PN,CV-PN.png,6.094,PNG,"(216, 324)",1.5,,50.91,,
CV-PR,CV-PR.svg,43.75,SVG,"(216, 324)",1.5,,100,,"#020a6c,#479b2d,#f8ef38,#fdfdfe"
CV-RB,CV-RB.png,180.482,PNG,"(613, 1000)",1.63,,2.0,,
CV-RG,CV-RG.png,2.375,PNG,"(108, 162)",1.5,,82.64,,
CV-RS,CV-RS.png,19.692,PNG,"(216, 432)",2.0,,8.35,,
CV-SD,CV-SD.png,228.785,PNG,"(589, 1000)",1.7,,26.11,,
CV-SF,CV-SF.png,7.685,PNG,"(216, 324)",1.5,,52.2,,
CV-SL,CV-SL.png,9.175,PNG,"(216, 324)",1.5,,41.2,,
CV-SM,CV-SM.svg,13.368,SVG,"(1058, 1489)",1.41,,100,,
CV-SO,CV-SO.png,135.953,PNG,"(601, 1000)",1.66,,6.66,,
CV-SS,CV-SS.png,63.593,PNG,"(244, 407)",1.67,,44.01,,
CV-SV,CV-SV.png,6.688,PNG,"(216, 324)",1.5,,65.76,,
CV-TA,CV-TA.png,7.929,PNG,"(216, 346)",1.6,,40.14,,
CV-TS,CV-TS.png,9.956,PNG,"(216, 300)",1.39,,100,,
CZ-10,CZ-10.svg,0.167,SVG,"(600, 900)",1.5,,4,,"#d42e12,#f7d417"
CZ-20,CZ-20.svg,112.48,SVG,"(1200, 1800)",1.5,,100,,"#000096,#1f1a17,#ba2b1a,#e20909,#e9cc0c,#f00,#fff"
CZ-31,CZ-31.svg,112.739,SVG,"(1200, 1800)",1.5,,100,,"#0032ff,#006400,#1f1a17,#5ab532,#ba2b1a,#e20909,#e9cc0c,#ffc800,#fff"
CZ-32,CZ-32.svg,101.639,SVG,"(1200, 1800)",1.5,,100,,"#009600,#1f1a17,#ba2b1a,#e9cc0c,#ffc800,#ffd500,#fff"
CZ-41,CZ-41.svg,90.123,SVG,"(378, 567)",1.5,,100,,"#007bc3,#ce9715,#cfd0d2,#ec2128,#fff"
CZ-42,CZ-42.svg,272.098,SVG,"(1200, 1800)",1.5,,100,,"#000000,#003296,#009600,#1f1a17,#ba2b1a,#e9cc0c,#ffc800,#fff"
CZ-51,CZ-51.svg,180.935,SVG,"(1200, 1800)",1.5,,100,,"#0032ff,#1f1a17,#ba2b1a,#e9cc0c,#fff"
CZ-52,CZ-52.svg,180.363,SVG,"(1200, 1800)",1.5,,100,,"#05f,#1f1a17,#e9cc0c,#f00,#ffc800,#fff"
CZ-53,CZ-53.svg,288.939,SVG,"(600, 900)",1.5,,38,,"#0068ae,#0e0d0c,#e1192f,#f6d705,#fcfcfc"
CZ-63,CZ-63.svg,149.133,SVG,"(1860, 2790)",1.5,,100,,"#0032ff,#009600,#1f1a17,#ba2b1a,#e9cc0c,#f00,#fff"
CZ-64,CZ-64.svg,71.522,SVG,"(1200, 1800)",1.5,,100,,"#0c5391,#ba2b1a,#ddbd45,#ddbf45,#e9cc0c,#fff"
CZ-71,CZ-71.svg,38.761,SVG,"(1200, 1800)",1.5,,100,,"#0064ff,#ba2b1a,#e9cc0c,#fff"
CZ-72,CZ-72.svg,50.389,SVG,"(1200, 1800)",1.5,,100,,"#0a0a64,#249842,#646464,#ba2b1a,#e9cc0c,#ffc800,#fff"
CZ-80,CZ-80.svg,141.764,SVG,"(600, 900)",1.5,,100,,"#0c5391,#191919,#56876c,#ba2b1a,#d32820,#e9cc0c,#fff,#fff500"
DE-BB,DE-BB.svg,38.537,SVG,"(600, 1)",0.0,,30,,"#000000,#e60000,#fde44a,#ffffff"
DE-BE,DE-BE.svg,3.096,SVG,"(600, 1)",0.0,,8,,"#e2382a,#fff"
DE-BW,DE-BW.svg,0.175,SVG,"(600, 1000)",1.67,,2,,
DE-BY,DE-BY.svg,0.695,SVG,"(600, 1000)",1.67,,4,,#0098d4
DE-HB,DE-HB.svg,0.229,SVG,"(400, 600)",1.5,,4,,"#d00,#fff"
DE-HE,DE-HE.svg,0.462,SVG,"(600, 1000)",1.67,,4,,"#e10000,#fff"
DE-HH,DE-HH.svg,1.861,SVG,"(400, 600)",1.5,,34,,"#000,#da121a,#fff"
DE-MV,DE-MV.svg,0.272,SVG,"(600, 1000)",1.67,,8,,"#2b58a3,#de0029,#f9f400,#fff"
DE-NI,DE-NI.svg,45.812,SVG,"(600, 900)",1.5,,100,,"#000,#d00,#ffce00,#fff"
DE-NW,DE-NW.svg,0.29,SVG,"(480, 800)",1.67,,6,,"#009136,#e3001b,#fff"
DE-RP,DE-RP.svg,83.977,SVG,"(600, 900)",1.5,,100,,"#d00,#ffce00,#fff"
DE-SH,DE-SH.svg,0.354,SVG,"(600, 1000)",1.67,,6,,"#0039ad,#d61810,#fff"
DE-SL,DE-SL.svg,181.08,SVG,"(300, 500)",1.67,,100,,"#176fc1,#d00,#ffce00,#fff"
DE-SN,DE-SN.svg,0.199,SVG,"(300, 500)",1.67,,4,,"#166c23,#fff"
DE-ST,DE-ST.svg,57.993,SVG,"(600, 1000)",1.67,,100,,"#1a962b,#e2001a,#ebbd00,#fcd116,#fff"
DE-TH,DE-TH.svg,0.47,SVG,"(250, 500)",2.0,,4,,"#e10000,#ffffff"
DJ-DJ,DJ-DJ.png,90.545,PNG,"(617, 507)",0.82,,26.92,,
DK-81,DK-81.svg,15.505,SVG,"(711, 1067)",1.5,,56,,"#84092b,#ffffff"
DK-82,DK-82.svg,18.072,SVG,"(711, 1067)",1.5,,68,,"#36220f,#785d47,#92082e,#ffffff"
DK-83,DK-83.svg,17.93,SVG,"(711, 1067)",1.5,,54,,"#5a6771,#6ea31b,#ffffff"
DK-84,DK-84.svg,14.042,SVG,"(400, 600)",1.5,,50,,"#0e3e5a,#fff"
DK-85,DK-85.svg,3.369,SVG,"(711, 1067)",1.5,,4,,"#0081ab,#fff"
DO-01,DO-01.png,338.408,PNG,"(1000, 1500)",1.5,,1.61,,
DO-02,DO-02.png,3.713,PNG,"(216, 324)",1.5,,17.17,,
DO-05,DO-05.png,201.672,PNG,"(1000, 1500)",1.5,,8.04,,
DO-09,DO-09.png,1512.167,PNG,"(3750, 5625)",1.5,,0.15,,
DO-10,DO-10.png,1.459,PNG,"(174, 289)",1.66,,2.05,,
DO-12,DO-12.png,4.081,PNG,"(216, 324)",1.5,,34.56,,
DO-13,DO-13.png,721.178,PNG,"(4167, 6250)",1.5,,0.08,,
DO-15,DO-15.png,346.185,PNG,"(756, 1200)",1.59,,2.68,,
DO-18,DO-18.svg,30.992,SVG,"(411, 700)",1.7,,100,,#4f518e
DO-20,DO-20.png,1883.479,PNG,"(4167, 6251)",1.5,,1.17,,
DO-23,DO-23.svg,2.004,SVG,"(646, 1076)",1.67,,6,,"#023f80,#b30101,#f8b916"
DO-24,DO-24.png,4010.949,PNG,"(3750, 5625)",1.5,,3.62,,
DO-25,DO-25.png,1704.403,PNG,"(4167, 6250)",1.5,,1.0,,
DO-28,DO-28.svg,0.886,SVG,"(600, 1000)",1.67,,6,,
DO-31,DO-31.png,454.088,PNG,"(1000, 1500)",1.5,,0.59,,
DO-32,DO-32.png,105.529,PNG,"(712, 1280)",1.8,,2.04,,
EC-A,EC-A.svg,0.167,SVG,"(200, 300)",1.5,,4,,"#c60b1d,#ffc400"
EC-B,EC-B.svg,0.554,SVG,"(500, 750)",1.5,,4,,"#078930,#da121a"
EC-C,EC-C.svg,0.645,SVG,"(500, 750)",1.5,,6,,"#078930,#da121a,#fcdd09"
EC-D,EC-D.svg,2.697,SVG,"(500, 750)",1.5,,16,,"#078930,#0e0d02,#fcdd09,#ffffff"
EC-E,EC-E.svg,0.517,SVG,"(500, 750)",1.5,,4,,"#078930,#ffffff"
EC-F,EC-F.svg,0.645,SVG,"(500, 750)",1.5,,6,,"#0f47af,#da121a,#fcdd09"
EC-G,EC-G.svg,2.084,SVG,"(500, 750)",1.5,,14,,"#89c5e3,#ffffff"
EC-H,EC-H.svg,348.01,SVG,"(500, 750)",1.5,,100,,"#0000d7,#003893,#0044ae,#0071bc,#007638,#008000,#008f4c,#034418,#078930,#0f47af,#1353b4,#2767c8,#4d4d4d,#51d1f6,#540,#555,#557176,#666,#704d25,#742c64,#808000,#808080,#81b31c,#999b9e,#99afca,#9d5333,#9d9d9d,#b3b3b3,#b40000,#b43535,#b8b8b8,#bdbdbd,#c1c1c1,#c87137,#ca0,#cab313,#ccc,#ce0f25,#d35f5f,#d4aa00,#d6ad02,#d7d7d7,#da121a,#e22339,#e3e4e5,#e6e6e6,#e7e7e7,#eac102,#eb7711,#ed1c24,#edc102,#f2a772,#fcdd09,#fd5,#fea,#fee46e,#fff"
EC-I,EC-I.svg,0.729,SVG,"(500, 750)",1.5,,8,,"#078930,#0f47af,#da121a,#ffffff"
EC-L,EC-L.svg,10.503,SVG,"(500, 750)",1.5,,38,,"#0f47af,#da121a,#fcdd09,#ffffff"
EC-M,EC-M.svg,23.497,SVG,"(500, 750)",1.5,,52,,"#078930,#da121a,#ffffff"
EC-N,EC-N.svg,1.458,SVG,"(500, 750)",1.5,,8,,"#0f47af,#da121a,#fcdd09,#ffffff"
EC-O,EC-O.svg,1.894,SVG,"(500, 750)",1.5,,4,,"#078930,#fcdd09"
EC-P,EC-P.svg,4906.007,SVG,"(500, 750)",1.5,,4,,"#ce0f25,#fcd116"
EC-R,EC-R.svg,0.177,SVG,"(500, 750)",1.5,,4,,"#078930,#fff"
EC-S,EC-S.svg,1.694,SVG,"(600, 900)",1.5,,4,,"#00803d,#078930,#fcdc16,#fff"
EC-SD,EC-SD.svg,37.05,SVG,"(500, 750)",1.5,,100,,"#0055d4,#0255d4,#078930,#0cf,#490,#55d400,#8d5fd3,#93aca7,#b8da6b,#c6a2c1,#c6ecff,#d38d5f,#d40000,#da121a,#f80,#f9a8b3,#fcc,#fcd116,#fde327,#ff2a7f,#ffdea9,#fff"
EC-SE,EC-SE.svg,186.449,SVG,"(500, 750)",1.5,,6,,"#003893,#00803d,#63aadb"
EC-T,EC-T.svg,1.204,SVG,"(500, 750)",1.5,,4,,"#00803d,#078930,#ce0f25,#da121a"
EC-U,EC-U.svg,0.859,SVG,"(500, 750)",1.5,,6,,"#078930,#fcdd09,#ffffff"
EC-W,EC-W.svg,1.72,SVG,"(600, 900)",1.5,,6,,"#003893,#008f4c,#00ad40,#0f47af,#fff"
EC-X,EC-X.svg,0.506,SVG,"(500, 750)",1.5,,4,,"#0f47af,#da121a"
EC-Y,EC-Y.svg,0.874,SVG,"(500, 750)",1.5,,6,,"#078930,#fcdd09"
EC-Z,EC-Z.svg,0.214,SVG,"(500, 750)",1.5,,6,,"#07892d,#fcdd09,#fff"
EE-130,EE-130.svg,3.186,SVG,"(664, 1040)",1.57,,6,,"#0073cf,#ffd100"
EE-141,EE-141.svg,28.509,SVG,"(740, 1140)",1.54,,100,,"#006dc5,#00aeef,#0f47af,#2e3192,#ffcc00,#ffffff"
EE-142,EE-142.svg,4.288,SVG,"(650, 1035)",1.59,,6,,"#00a043,#fce100"
EE-171,EE-171.svg,44.848,SVG,"(1068, 1678)",1.57,,100,,"#006dc5,#06f,#15a94a,#2b7afd,#f0c607,#ff0,#ffcc2a,#fff,#ffffff"
EE-184,EE-184.svg,0.691,SVG,"(300, 600)",2.0,,8,,"#0f47af,#fff"
EE-191,EE-191.svg,0.84,SVG,"(450, 600)",1.33,,14,,"#2e3192,#f60,#ffcc05,#fff"
EE-198,EE-198.svg,3.197,SVG,"(300, 471)",1.57,,16,,#0071c4
EE-205,EE-205.png,13.201,PNG,"(362, 570)",1.57,,5.85,,
EE-214,EE-214.svg,0.913,SVG,"(500, 500)",1.0,,10,,"#00b0f0,#fff,#fff215"
EE-245,EE-245.svg,21.066,SVG,"(505, 810)",1.6,,100,,"#006dc5,#0f47af,#2e3192,#ed1c24,#ffcc00,#ffffff"
EE-247,EE-247.svg,7.747,SVG,"(414, 650)",1.57,,6,,"#0073ce,#ffffff"
EE-251,EE-251.svg,0.319,SVG,"(300, 600)",2.0,,6,,"#009933,#fff"
EE-255,EE-255.svg,14.589,SVG,"(1018, 1600)",1.57,,18,,"#009a3c,#178c45,#1a1a18,#45a247,#fdec00"
EE-272,EE-272.svg,0.676,SVG,"(300, 471)",1.57,,6,,"#000000,#009900,#ffffff"
EE-283,EE-283.svg,32.34,SVG,"(500, 750)",1.5,,4,,"#289442,#f5dc00"
EE-284,EE-284.svg,3.824,SVG,"(254, 400)",1.57,,4,,"#14ac54,#fff"
EE-291,EE-291.svg,9.523,SVG,"(878, 1382)",1.57,,32,,"#2a71c9,#359743,#fbfdfc"
EE-293,EE-293.svg,8.484,SVG,"(539, 847)",1.57,,8,,"#040307,#396abd,#ffffff"
EE-296,EE-296.svg,0.238,SVG,"(500, 1000)",2.0,,4,,#0f47af
EE-303,EE-303.svg,0.284,SVG,"(200, 200)",1.0,,4,,#0093dd
EE-305,EE-305.svg,0.415,SVG,"(700, 1100)",1.57,,6,,"#0077d4,#f00,#fff"
EE-317,EE-317.svg,10.848,SVG,"(540, 850)",1.57,,28,,"#000000,#00a85a,#15a94a,#f0c607,#ffcc2a,#ffffff"
EE-321,EE-321.svg,2.885,SVG,"(382, 600)",1.57,,4,,"#0077be,#ffed00"
EE-338,EE-338.svg,32.775,SVG,"(510, 510)",1.0,,100,,"#006dc5,#0f47af,#2a88de,#2e3192,#ffcc00,#ffffff"
EE-353,EE-353.svg,1.198,SVG,"(319, 500)",1.57,,22,,"#3370af,#d9271e,#fff"
EE-37,EE-37.svg,3.204,SVG,"(300, 471)",1.57,,10,,"#009739,#ef3340,#ffffff"
EE-39,EE-39.svg,9.424,SVG,"(300, 471)",1.57,,22,,"#009645,#009739,#d9d9d9,#ef3340,#ff0000,#ffffff"
EE-424,EE-424.svg,17.996,SVG,"(420, 600)",1.43,,40,,"#ed1c24,#ffcb05,#ffffff"
EE-430,EE-430.svg,7.55,SVG,"(540, 720)",1.33,,16,,"#0b91d0,#15a94a,#f0c607,#ffcc2a,#ffffff"
EE-431,EE-431.svg,3.49,SVG,"(764, 1203)",1.57,,6,,"#10ae4f,#127ac3,#fff"
EE-432,EE-432.svg,14.262,SVG,"(540, 720)",1.33,,38,,"#009241,#0092dd,#15a94a,#5c4925,#c1a165,#f0c607,#ffcc2a"
EE-441,EE-441.png,11.214,PNG,"(397, 625)",1.57,,5.79,,
EE-442,EE-442.svg,9.446,SVG,"(599, 940)",1.57,,28,,"#2b2b2a,#2ea821,#fcffff,#ffffff"
EE-446,EE-446.svg,0.577,SVG,"(300, 471)",1.57,,6,,"#00a3dd,#ffffff"
EE-45,EE-45.svg,47.884,SVG,"(300, 471)",1.57,,24,,"#0072ce,#009739,#ef3340,#fedd00"
EE-478,EE-478.svg,1.623,SVG,"(500, 500)",1.0,,16,,"#00b0f0,#ed262b,#fff"
EE-480,EE-480.svg,6.887,SVG,"(375, 590)",1.57,,12,,"#1a1a1a,#4385fe,#4485fe,#f8ce07,#ffffff"
EE-486,EE-486.png,47.224,PNG,"(699, 1000)",1.43,,9.57,,
EE-50,EE-50.svg,47.543,SVG,"(300, 471)",1.57,,70,,"#0072ce,#009739,#fedd00"
EE-503,EE-503.svg,3.612,SVG,"(500, 500)",1.0,,20,,"#00a85a,#ffcc2a,#ffffff"
EE-511,EE-511.svg,0.236,SVG,"(700, 1100)",1.57,,4,,"#006e75,#fdd118"
EE-514,EE-514.svg,1.167,SVG,"(400, 600)",1.5,,10,,"#2e3192,#fff200"
EE-52,EE-52.svg,9.673,SVG,"(300, 471)",1.57,,36,,"#0072ce,#009739,#2d2f31,#ffffff"
EE-528,EE-528.svg,10.534,SVG,"(540, 820)",1.52,,40,,"#0066ff,#06f,#15a94a,#f0c607,#ff0,#ffcc2a,#fff,#ffff00,#ffffff"
EE-557,EE-557.svg,13.006,SVG,"(490, 770)",1.57,,10,,"#ffff00,#ffffff"
EE-56,EE-56.svg,31.525,SVG,"(300, 471)",1.57,,60,,"#009739,#ef3340,#fedd00,#fff"
EE-567,EE-567.svg,0.769,SVG,"(300, 600)",2.0,,8,,"#009933,#ffffff"
EE-586,EE-586.svg,3.766,SVG,"(1057, 1667)",1.58,,22,,#027dc3
EE-60,EE-60.svg,47.888,SVG,"(300, 471)",1.57,,24,,"#0072ce,#009739,#fedd00"
EE-615,EE-615.svg,0.425,SVG,"(600, 900)",1.5,,6,,"#da121a,#fff"
EE-618,EE-618.svg,24.582,SVG,"(536, 846)",1.58,,68,,"#006dc5,#00a650,#1862ae,#fab30b"
EE-622,EE-622.svg,29.478,SVG,"(535, 844)",1.58,,62,,"#06f,#15a94a,#1b9913,#2c63d2,#f0c607,#ff0,#ffcc2a,#fff,#ffffff"
EE-624,EE-624.svg,0.554,SVG,"(300, 540)",1.8,,6,,"#0072c6,#ffffff"
EE-638,EE-638.svg,17.799,SVG,"(540, 860)",1.59,,60,,"#000000,#019a3f,#06f,#15a94a,#f0c607,#ff0,#ffcc2a,#ffeb00,#fff"
EE-64,EE-64.svg,8.811,SVG,"(300, 471)",1.57,,18,,"#009739,#fedd00"
