subdivision_code,file_name,file_size_kb,file_extension,dimensions,aspect_ratio,flag_type,quality,source_url,dominant_colours
CA-PE,CA-PE.svg,595.708,SVG,"(1200, 1800)",1.5,,100,,"#00968c,#00988f,#009a92,#009b92,#009b93,#009d94,#009f95,#18a097,#25a199,#2aa299,#31a49b,#37685c,#3ba59d,#43a79f,#47a8a0,#4b9aca,#4daaa2,#50aba2,#53aca4,#58ada6,#5c95bd,#5daea6,#61b0a8,#64b1a8,#67b2aa,#6ab3ac,#70b5af,#75b8b1,#77b8b2,#79b9b3,#7cbab4,#7ebbb5,#82bdb7,#85bfb8,#86bfb8,#87c0b9,#89c1ba,#8b4635,#8fc3bd,#95c5c1,#ae7d56,#b0775c,#c89b83,#c89c84,#c99d86,#ca9e87,#cba088,#cba089,#cba189,#cba18a,#cca28b,#cca28c,#cda48e,#cda58e,#cda690,#cea791,#cea892,#cfa892,#cfa993,#d0a993,#d0aa94,#d0ab95,#d1ac97,#d2ad98,#d2ae99,#d3ae99,#d3af9a,#d3b09b,#d4b19c,#d4b29d,#d54040,#d5b29e,#d6b39f,#d6b4a0,#d7b5a1,#d7b6a3,#d8b7a3,#d8b7a4,#d8b8a5,#d9b8a5,#d9b9a6,#dabaa8,#dabba8,#dbbba9,#dbbcaa,#dbbdab,#dcbead,#ddbead,#ddbfae,#debfae,#dec0af,#dec1b0,#f3db61,#fff"
CA-QC,CA-QC.svg,0.879,SVG,"(800, 1200)",1.5,,4,,"#003da5,#fff"
CA-SK,CA-SK.svg,39.187,SVG,"(496, 992)",2.0,,100,,"#0139ab,#016b29,#076a21,#d4170f,#dd1810,#fdd401,#fed501,#fee500,#feffff"
CA-YT,CA-YT.svg,59.197,SVG,"(1400, 2800)",2.0,,100,,"#0738ac,#187b01,#231f20,#62310e,#cdcdcd,#d5105a,#d51810,#fedc00,#fedd00,#fff"
CD-KN,CD-KN.svg,7.72,SVG,"(216, 324)",1.5,,54,,
CD-SA,CD-SA.svg,43.973,SVG,"(533, 596)",1.12,,100,,
CG-16,CG-16.svg,3.991,SVG,"(768, 1152)",1.5,,28,,
CH-AG,CH-AG.svg,3.674,SVG,"(500, 500)",1.0,,16,,"#0093dd,#010202,#ffffff"
CH-AI,CH-AI.svg,14.57,SVG,"(470, 470)",1.0,,78,,"#010202,#110a0e,#e8423f,#ffffff"
CH-AR,CH-AR.svg,16.543,SVG,"(494, 408)",0.83,,88,,"#010202,#0a0406,#e8423f,#ffffff"
CH-BE,CH-BE.svg,15.036,SVG,"(470, 470)",1.0,,24,,"#010202,#040304,#d50029,#ffd730,#fff"
CH-BL,CH-BL.svg,4.892,SVG,"(650, 650)",1.0,,10,,"#ff0000,#ffffff"
CH-BS,CH-BS.svg,2.391,SVG,"(470, 470)",1.0,,12,,"#010202,#ffffff"
CH-FR,CH-FR.svg,0.202,SVG,"(600, 600)",1.0,,4,,"#000,#fff"
CH-GE,CH-GE.svg,72.646,SVG,"(470, 470)",1.0,,100,,"#010202,#040304,#ef3340,#ffd100,#fff"
CH-GL,CH-GL.svg,8.574,SVG,"(470, 470)",1.0,,66,,"#010202,#040304,#110a0e,#e8423f,#ffd730,#ffffff"
CH-GR,CH-GR.svg,37.866,SVG,"(500, 500)",1.0,,88,,"#000000,#0083c2,#040304,#e8423f,#ffd303,#ffffff"
CH-JU,CH-JU.svg,3.239,SVG,"(350, 350)",1.0,,36,,"#e8423f,#ffffff"
CH-LU,CH-LU.svg,0.205,SVG,"(600, 600)",1.0,,4,,"#0082c7,#fff"
CH-NE,CH-NE.svg,0.328,SVG,"(540, 540)",1.0,,8,,"#16a74e,#e8423f,#fff"
CH-NW,CH-NW.svg,20.945,SVG,"(468, 468)",1.0,,34,,"#010202,#dc3b41,#ffffff"
CH-OW,CH-OW.svg,11.899,SVG,"(500, 500)",1.0,,72,,"#d8232a,#feffff,#ffffff"
CH-SG,CH-SG.svg,1.202,SVG,"(420, 420)",1.0,,10,,#009933
CH-SH,CH-SH.svg,17.29,SVG,"(470, 470)",1.0,,68,,"#010202,#040304,#e8423f,#ffd730"
CH-SO,CH-SO.svg,0.171,SVG,"(470, 470)",1.0,,4,,"#d30000,#fff"
CH-SZ,CH-SZ.svg,0.389,SVG,"(475, 473)",1.0,,4,,"#e10a16,#fff"
